"","regions","mean","SD"
"1","Congolian-Congolian",0.833789063849684,0.221558802961783
"2","Congolian-Ethiopian",0.990935249435419,0.0403828668894022
"3","Congolian-Somalian",0.970285935137712,0.0698926055958974
"4","Congolian-Southern",0.977481521910482,0.0534478727071585
"5","Congolian-Sudanian",0.92794063339981,0.128640551591971
"6","Congolian-Zambezian",0.962102463479489,0.0699783845616661
"7","Ethiopian-Congolian",0.990935249435419,0.0403828668894022
"8","Ethiopian-Ethiopian",0.714013591381529,0.269820288522668
"9","Ethiopian-Somalian",0.962816017491424,0.0966683632264155
"10","Ethiopian-Southern",0.986479876196453,0.0455442524170276
"11","Ethiopian-Sudanian",0.9758834199542,0.074921696194529
"12","Ethiopian-Zambezian",0.981968457484552,0.0542409671821059
"13","Somalian-Congolian",0.970285935137712,0.0698926055958974
"14","Somalian-Ethiopian",0.962816017491424,0.0966683632264155
"15","Somalian-Somalian",0.601503434836768,0.324094745431957
"16","Somalian-Southern",0.949935854780262,0.0897335125216054
"17","Somalian-Sudanian",0.930534002906724,0.0966063705921406
"18","Somalian-Zambezian",0.878601895168728,0.107839937092625
"19","Southern-Congolian",0.977481521910482,0.0534478727071585
"20","Southern-Ethiopian",0.986479876196453,0.0455442524170276
"21","Southern-Somalian",0.949935854780262,0.0897335125216054
"22","Southern-Southern",0.773209314599689,0.240369712688327
"23","Southern-Sudanian",0.970760662101547,0.0584777457282017
"24","Southern-Zambezian",0.890688268958333,0.157833271601003
"25","Sudanian-Congolian",0.92794063339981,0.128640551591971
"26","Sudanian-Ethiopian",0.9758834199542,0.074921696194529
"27","Sudanian-Somalian",0.930534002906724,0.0966063705921406
"28","Sudanian-Southern",0.970760662101547,0.0584777457282017
"29","Sudanian-Sudanian",0.757937059451644,0.271854105949721
"30","Sudanian-Zambezian",0.945054716219222,0.080036494166832
"31","Zambezian-Congolian",0.962102463479489,0.0699783845616661
"32","Zambezian-Ethiopian",0.981968457484552,0.0542409671821059
"33","Zambezian-Somalian",0.878601895168728,0.107839937092625
"34","Zambezian-Southern",0.890688268958333,0.157833271601003
"35","Zambezian-Sudanian",0.945054716219222,0.080036494166832
"36","Zambezian-Zambezian",0.743601617325444,0.248873756030666
